,0,1,2,3,4
1,1,الفَاتِحَة,al-Fatihah,al-faatiHah,The Opening
2,2,البَقَرَة,al-Baqarah,al-baqarah,The Cow
3,3,آل عِمرَان,Al-Imran,aali-`imraan,The Family Of Imran
4,4,النِّسَاء,an-Nisa',an-nisaa',Women
5,5,المَائدة,al-Ma'idah,al-maa'idah,The Food
6,6,الأنعَام,al-An`am,al-an`aam,The Cattle
7,7,الأعرَاف,al-A`raf,al-a`raaf,The Elevated Places
8,8,الأنفَال,al-Anfal,al-anfaal,The Spoils Of War
9,9,التوبَة,at-Taubah,at-tawbah,Repentance
10,10,يُونس,Yunus,yoonus,Jonah
11,11,هُود,Hud,hood,Hud
12,12,يُوسُف,Yusuf,yoosuf,Joseph
13,13,الرَّعْد,ar-Ra`d,ar-Ra`d,The Thunder
14,14,إبراهِيم,Ibrahim,ibraheem,Abraham
15,15,الحِجْر,al-Hijr,al-Hijr,The Rock
16,16,النَّحْل,an-Nahl,an-naHl,The Bee
17,17,الإسْرَاء,Al-Isra,al-Isra',The Night Journey
18,18,الكهْف,al-Kahf,al-kahf,The Cave
19,19,مَريَم,Maryam,maryam,Mary
20,20,طه,Ta Ha,Taa haa,Ta Ha
21,21,الأنبيَاء,al-Anbiya',al-anbiyaa',The Prophets
22,22,الحَج,al-Hajj,al-Hajj,The Pilgrimage
23,23,المُؤمنون,al-Mu'minun,al-mu'minoon,The Believers
24,24,النُّور,an-Nur,an-noor,The Light
25,25,الفُرْقان,al-Furqan,al-furqaan,The Criterion
26,26,الشُّعَرَاء,ash-Shu`ara',ash-shu`araa',The Poets
27,27,النَّمْل,an-Naml,an-naml,The Ant
28,28,القَصَص,al-Qasas,al-qasas,The Narrative
29,29,العَنكبوت,al-`Ankabut,al-`ankaboot,The Spider
30,30,الرُّوم,ar-Rum,ar-room,The Romans
31,31,لقمَان,Luqman,luqmaan,Lukman
32,32,السَّجدَة,as-Sajdah,as-sajdah,The Adoration
33,33,الأحزَاب,al-Ahzab,al-aHzab,The Allies
34,34,سَبَأ,Saba',as-Saba',Sheba
35,35,فَاطِر,Fatir,faaTir,The Creator
36,36,يس,Ya Sin,yaa seen,Ya Sin
37,37,الصَّافات,as-Saffat,aS-Saaffaat,The Rangers
38,38,ص,Sad,Saad,Sad
39,39,الزُّمَر,az-Zumar,az-zumar,The Companies
40,40,غَافِر,Ghafir,Ghafir,The Forgiving One
41,41,فُصِّلَتْ,Fussilat,Fussilat,Revelations Well Expounded
42,42,الشُّورَى,ash-Shura,ash-shooraa,The Counsel
43,43,الزُّخْرُف,az-Zukhruf,azl-zukhruf,The Embellishment
44,44,الدُّخان,ad-Dukhan,ad-dukhaan,The Evident Smoke
45,45,الجاثِية,al-Jathiyah,al-jaathiyah,The Kneeling
46,46,الأحقاف,al-Ahqaf,al-aHqaaf,The Sandhills
47,47,مُحَمّد,Muhammad,muHammad,Muhammad
48,48,الفَتْح,al-Fath,al-fatH,The Victory
49,49,الحُجُرات,al-Hujurat,al-Hujuraat,The Chambers
50,50,ق,Qaf,qaaf,Qaf
51,51,الذَّاريَات,ad-Dhariyat,ad-dhaariyaat,The Scatterers
52,52,الطُّور,at-Tur,aT-Toor,The Mountain
53,53,النَّجْم,an-Najm,an-najm,The Star
54,54,القَمَر,al-Qamar,al-qamar,The Moon
55,55,الرَّحمن,ar-Rahman,ar-raHmaan,The Merciful
56,56,الواقِعَة,al-Waqi`ah,al-waaqi`ah,That Which is Coming
57,57,الحَديد,al-Hadid,al-Hadeed,The Iron
58,58,المُجادَلة,al-Mujadilah,al-mujaadilah,She Who Pleaded
59,59,الحَشْر,al-Hashr,al-Hashr,The Exile
60,60,المُمتَحَنة,al-Mumtahanah,al-mumtaHanah,She Who is Tested
61,61,الصَّف,as-Saff,as-saff,The Ranks
62,62,الجُّمُعة,al-Jumu`ah,al-jumu`ah,The Day of Congregation
63,63,المُنافِقُون,al-Munafiqun,al-munafiqoon,The Hypocrites
64,64,التَّغابُن,at-Taghabun,at-taghaabun,The Cheating
65,65,الطَّلاق,"at-Talaq,",aT-Talaaq,The Divorce
66,66,التَّحْريم,at-Tahrim,at-taHreem,The Prohibition
67,67,المُلْك,al-Mulk,al-mulk,The Kingdom
68,68,القَلـََم,al-Qalam,al-qalam,The Pen
69,69,الحَاقّـَة,al-Haqqah,al-Haaqqah,The Inevitable
70,70,المَعارِج,al-Ma`arij,al-ma`aarij,The Ladders
71,71,نُوح,Nuh,nooH,Noah
72,72,الجِنّ,al-Jinn,al-jinn,The Jinn
73,73,المُزَّمّـِل,al-Muzammil,al-muzammil,The Mantled One
74,74,المُدَّثــِّر,al-Mudathir,al-muddaththir,The Clothed One
75,75,القِيامَة,al-Qiyamah,al-qiyaamah,The Resurrection
76,76,الإنسان,al-Insane,al-insane,The Man
77,77,المُرسَلات,al-Mursalat,al-mursalaat,The Emissaries
78,78,النـَّبأ,an-Naba',an-naba',The Tidings
79,79,النـّازِعات,an-Nazi`at,an-naazi`aat,Those Who Pull Out
80,80,عَبَس,`Abasa,`abasa,He Frowned
81,81,التـَّكْوير,at-Takwir,at-takweer,The Cessation
82,82,الإنفِطار,al-Infitar,al-infiTaar,The Cleaving Asunder
83,83,المُطـَفِّفين,Al-Mutaffifeen,Al-Mutaffifeen,The Defrauders
84,84,الإنشِقاق,al-Inshiqaq,al-inshiqaaq,The Rending
85,85,البُروج,al-Buruj,al-burooj,the Constellations
86,86,الطّارق,at-Tariq,aT-Taariq,The Night-Comer
87,87,الأعلی,al-A`la,al-A`laa,The Most High
88,88,الغاشِيَة,al-Ghashiya,al-ghaashiyah,The Overwhelming Calamity
89,89,الفَجْر,al-Fajr,al-fajr,The Dawn
90,90,البَـلـَد,al-Balad,al-balad,The City
91,91,الشــَّمْس,ash-Shams,ash-shams,The Sun
92,92,اللـَّيل,al-Layl,al-lail,The Night
93,93,الضُّحی,ad-Duha,aD-DuHaa,The Early Hours
94,94,الشَّرْح,ash-Sharh,ash-Sharh,The Expansion
95,95,التـِّين,at-Tin,aT-Teen,The Fig
96,96,العَلـَق,al-`Alaq,al-`alaq,The Clot
97,97,القـَدر,al-qadr,al-qadr,The Majesty
98,98,البَيِّنَة,al-Bayyinah,al-bayyinah,The Proof
99,99,الزلزَلة,Az-Zalzala,Az-Zalzala,The Shaking
100,100,العَادِيات,al-`Adiyat,al-`aadiyaat,The Assaulters
101,101,القارِعَة,al-Qari`ah,al-qaari`ah,The Terrible Calamity
102,102,التَكاثـُر,at-Takathur,at-takaathur,Worldly Gain
103,103,العَصْر,al-`Asr,al-`asr,Time
104,104,الهُمَزَة,al-Humazah,al-humazah,The Slanderer
105,105,الفِيل,al-Fil,al-feel,The Elephant
106,106,قـُرَيْش,al-Quraish,al-quraish,The Quraish
107,107,المَاعُون,al-Ma`un,al-maa`oon,The Daily Necessaries
108,108,الكَوْثَر,al-Kauthar,al-kauthar,Abundance
109,109,الكَافِرُون,al-Kafirun,al-kaafiroon,The Unbelievers
110,110,النـَّصر,an-Nasr,an-naSr,The Help
111,111,المَسَد,Al-Masad,Al-Masad,The Palm Fibre
112,112,الإخْلَاص,al-Ikhlas,al-ikhlaaS,The Unity
113,113,الفَلَق,al-Falaq,al-falaq,The Daybreak
114,114,النَّاس,an-Nas,an-naas,The Men
